date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:00:54	106108/106108	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19e7c%22	https://rsms.me/inter/font-files/Inter-ExtraBold.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ExtraBold3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:55	106108/106108	URF---	200	added ('OK%20(cached)')	application/woff2		https://rsms.me/inter/font-files/Inter-ExtraBold.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ExtraBold3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:56	111708/111708	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b45c%22	https://rsms.me/inter/font-files/Inter-ExtraBoldItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ExtraBoldItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:56	102868/102868	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-191d4%22	https://rsms.me/inter/font-files/Inter-Black.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Black3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:57	108752/108752	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1a8d0%22	https://rsms.me/inter/font-files/Inter-BlackItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-BlackItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:59	227180/227180	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-3776c%22	https://rsms.me/inter/font-files/Inter-roman.var.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-roman.var3535.woff2	(from https://rsms.me/inter/inter.css)
05:01:01	324864/324864	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-4f500%22	https://rsms.me/inter/font-files/Inter.var.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter.var3535.woff2	(from https://rsms.me/inter/inter.css)
05:01:01	245036/245036	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-3bd2c%22	https://rsms.me/inter/font-files/Inter-italic.var.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-italic.var3535.woff2	(from https://rsms.me/inter/inter.css)
05:01:02	103/103	---M--	200	added ('OK')	text/plain	etag:W/%2267-186a8108788%22	https://oasis.app/robots.txt		(from https://oasis-app.surge.sh/)
05:01:03	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:01:02%20GMT	https://oasis.app/manifest.json	/home/tillystack/websites/oasis/oasis.app/manifest.json	(from https://oasis.app/)
05:01:03	897/897	---M--	200	added ('OK')	application/json	etag:W/%22381-186a8108788%22	https://oasis.app/manifest.json	/home/tillystack/websites/oasis/oasis.app/manifest.json	(from https://oasis.app/manifest.json)
05:01:04	212/212	---M-Z	200	added ('OK')	text/plain	etag:W/%2263f12d58-1d3%22	https://rsms.me/robots.txt		(from https://rsms.me/inter/inter.css)
